fpr,tpr,threshold
0.0,0.0,inf
0.0,0.1111111111111111,0.775
0.0,0.2222222222222222,0.755
0.2222222222222222,0.2222222222222222,0.73
0.2222222222222222,0.5555555555555556,0.57
0.3333333333333333,0.5555555555555556,0.41
0.3333333333333333,0.7777777777777778,0.3325
0.4444444444444444,0.7777777777777778,0.325
0.4444444444444444,0.8888888888888888,0.2985
0.7777777777777778,0.8888888888888888,0.22
0.7777777777777778,1.0,0.21
1.0,1.0,0.05055555555555556
