,precision,recall,f1-score,support
0,0.8461538461538461,0.8301886792452831,0.8380952380952381,53.0
1,0.859375,0.873015873015873,0.8661417322834646,63.0
accuracy,0.853448275862069,0.853448275862069,0.853448275862069,0.853448275862069
macro avg,0.8527644230769231,0.851602276130578,0.8521184851893513,116.0
weighted avg,0.8533343003978779,0.853448275862069,0.8533273858009128,116.0
