molecule_chembl_id,target_chembl_id,pchembl_value,canonical_smiles,protein
CHEMBL178264,CHEMBL2095188,4.64,Cc1n[nH]c(Nc2nc(-c3ccccc3)nc3ccccc23)n1,COX1
CHEMBL178306,CHEMBL2095188,6.8,O=C(Nc1cccc(C(F)(F)F)c1)Nc1ncnc2nn3ccccc3c12,COX1
CHEMBL178488,CHEMBL2095188,6.0,O=C(Nc1ccc(Br)cc1)Nc1ncnc2nn3ccccc3c12,COX1
CHEMBL178645,CHEMBL2095188,7.47,O=C1NC(=O)C(c2cn3c4c(cccc24)CNCC3)=C1c1cccc2sccc12,COX1
CHEMBL178646,CHEMBL2095188,8.68,O=C1NC(=O)C(c2cncc3ccoc23)=C1c1cn2c3c(cccc13)CN(C(=O)N1CCCCC1)CC2,COX1
CHEMBL178737,CHEMBL2095188,8.89,O=C1NC(=O)C(c2cnc3ccccn23)=C1c1cn2c3c(cccc13)CN(C(=O)N1CCOCC1)CC2,COX1
CHEMBL178766,CHEMBL2095188,9.1,O=C1NC(=O)C(c2cncc3ccoc23)=C1c1cn2c3c(cccc13)CN(C(=O)N1CCOCC1)CC2,COX1
CHEMBL178820,CHEMBL2095188,8.48,O=C1NC(=O)C(c2cn3c4c(cccc24)CNCC3)=C1c1cccc2c1OCC2,COX1
CHEMBL178850,CHEMBL2095188,8.57,CN(C)C(=O)N1CCn2cc(C3=C(c4cccc5ccoc45)C(=O)NC3=O)c3cccc(c32)C1,COX1
CHEMBL178851,CHEMBL2095188,8.68,O=C1NC(=O)C(c2cnc3cnccn23)=C1c1cn2c3c(cccc13)CN(C(=O)N1CCCCC1)CC2,COX1
CHEMBL178953,CHEMBL2095188,6.9,N#Cc1cccc(NC(=O)Nc2ncnc3nn4ccccc4c23)c1,COX1
CHEMBL179224,CHEMBL2095188,5.8,O=C(Nc1ccc(C(F)(F)F)cc1)Nc1ncnc2nn3ccccc3c12,COX1
CHEMBL179341,CHEMBL2095188,6.82,Cc1cnc(Nc2nc(-c3ccccc3)nc3ccccc23)s1,COX1
CHEMBL179420,CHEMBL2095188,6.96,c1ccc(-c2nc(Nc3cc[nH]n3)c3ccccc3n2)cc1,COX1
CHEMBL179725,CHEMBL2095188,8.46,CC(C)C(=O)N1CCn2cc(C3=C(C4=CN=[N+]5C=CC=CC45)C(=O)NC3=O)c3cccc(c32)C1,COX1
CHEMBL1801636,CHEMBL2095188,5.35,CC(=O)C1=C(c2cn(C)c3ccccc23)C(=O)NC1=O,COX1
CHEMBL1802358,CHEMBL2095188,5.81,O=C1NC(Nc2ccccc2)=N/C1=C\c1ccc2c(c1)OCO2,COX1
CHEMBL180779,CHEMBL2095188,8.92,CN(C)C(=O)N1CCn2cc(C3=C(c4cncc5ccoc45)C(=O)NC3=O)c3cccc(c32)C1,COX1
CHEMBL181015,CHEMBL2095188,7.39,O=C1NC(=O)C(c2cn3c4c(cccc24)CNCC3)=C1c1cccc2occc12,COX1
CHEMBL181029,CHEMBL2095188,6.5,O=C(Nc1cccc([N+](=O)[O-])c1)Nc1ncnc2nn3ccccc3c12,COX1
CHEMBL181031,CHEMBL2095188,8.8,O=C1NC(=O)C(c2cnc3cccnn23)=C1c1cn2c3c(cccc13)CN(C(=O)N1CCCCC1)CC2,COX1
CHEMBL181112,CHEMBL2095188,7.22,O=C1NC(=O)C(c2cnc3cnccn23)=C1c1cn2c3c(cccc13)CNCC2,COX1
CHEMBL181296,CHEMBL2095188,8.6,CC(=O)N1CCn2cc(C3=C(c4cccc5c4OCO5)C(=O)NC3=O)c3cccc(c32)C1,COX1
CHEMBL181339,CHEMBL2095188,9.1,O=C1NC(=O)C(c2cnc3ccccn23)=C1c1cn2c3c(cccc13)CN(C(=O)C1CCOCC1)CC2,COX1
CHEMBL181371,CHEMBL2095188,9.05,CC(=O)N1CCn2cc(C3=C(c4cncc5ccoc45)C(=O)NC3=O)c3cccc(c32)C1,COX1
CHEMBL181464,CHEMBL2095188,8.33,CN(C)C(=O)N1CCn2cc(C3=C(c4ccn5ncccc45)C(=O)NC3=O)c3cccc(c32)C1,COX1
CHEMBL181518,CHEMBL2095188,9.0,CCC(=O)N1CCn2cc(C3=C(c4cncc5ccoc45)C(=O)NC3=O)c3cccc(c32)C1,COX1
CHEMBL181774,CHEMBL2095188,7.89,O=C1NC(=O)C(c2cn3c4c(cccc24)CNCC3)=C1c1cccc2c1OCO2,COX1
CHEMBL182048,CHEMBL2095188,7.57,O=C1NC(=O)C(c2cn3c4c(cccc24)CNCC3)=C1c1cccc2c1ccn2CCCO,COX1
CHEMBL188386,CHEMBL2095188,5.4,OCCCCNc1cncc(-c2cncc(Nc3cccc(Cl)c3)n2)c1,COX1
CHEMBL188502,CHEMBL2095188,6.5,Clc1cccc(Nc2cncc(-c3cncc(NCCCc4cccnc4)c3)n2)c1,COX1
CHEMBL191003,CHEMBL2095188,7.39,Nc1nc(Nc2ccc(S(N)(=O)=O)cc2)nn1C(=O)c1c(F)cccc1F,COX1
CHEMBL1946917,CHEMBL2095188,6.51,O=c1oc2cc(O)ccc2c2c1[nH]c1ccc(O)cc12,COX1
CHEMBL202935,CHEMBL2095188,6.34,O=C1NC(=O)c2c1c1ccccc1c1[nH]c3ccc(O)cc3c21,COX1
CHEMBL2048662,CHEMBL2095188,8.52,CCS(=O)(=O)Nc1ccc(CCNC(=O)c2ccnc3[nH]c(-c4ccsc4)nc23)cc1,COX1
CHEMBL2048680,CHEMBL2095188,8.7,COc1ccc(-c2nc3c(C(=O)Nc4cnccc4C)ccnc3[nH]2)cc1,COX1
CHEMBL204886,CHEMBL2095188,7.5,COc1cccc(-n2ccc3c(N/N=C/c4ccncc4)ncnc32)c1,COX1
CHEMBL204934,CHEMBL2095188,6.2,COc1cccc(-n2cnc3c(N/N=C/c4ccncc4)ncnc32)c1,COX1
CHEMBL205795,CHEMBL2095188,8.3,COc1cccc(-c2[nH]nc3c(N/N=C/c4ccncc4)ncnc23)c1,COX1
CHEMBL206010,CHEMBL2095188,8.3,COc1cccc(-c2c[nH]c3c(N/N=C/c4ccncc4)ncnc23)c1,COX1
CHEMBL208741,CHEMBL2095188,5.14,CCn1cnc2ccc3nc(C(=N)NC(C)C)sc3c2c1=O,COX1
CHEMBL2089032,CHEMBL2095188,5.15,CC(C)n1cnc2c(NCc3ccc(-c4ccccn4)cc3)nc(NC[C@@H](O)CO)nc21,COX1
CHEMBL209336,CHEMBL2095188,5.38,CCn1cnc2ccc3nc(C4=NCCN4)sc3c2c1=O,COX1
CHEMBL209648,CHEMBL2095188,4.8,O=Nc1c(-c2c(O)[nH]c3c(I)cccc23)[nH]c2ccccc12,COX1
CHEMBL209849,CHEMBL2095188,6.7,CC(=O)O/N=C1\C(c2c(O)[nH]c3ccccc23)=Nc2ccccc21,COX1
CHEMBL210001,CHEMBL2095188,5.21,CCN1C=Nc2ccc3nc(C#N)sc3c2C1,COX1
CHEMBL210073,CHEMBL2095188,6.48,CC(=O)O/N=C1/C(c2c(O)[nH]c3c(F)cccc23)=Nc2ccccc21,COX1
CHEMBL210106,CHEMBL2095188,5.19,CCCN1C=Nc2ccc3nc(C#N)sc3c2C1,COX1
CHEMBL210229,CHEMBL2095188,6.25,CC(C)n1cnc2ccc3nc(C(=N)NCCN(C)C)sc3c2c1=O,COX1
CHEMBL210330,CHEMBL2095188,5.0,CC(C)CN1C=Nc2ccc3nc(C#N)sc3c2C1,COX1
CHEMBL210385,CHEMBL2095188,4.3,CC(C)CCN1C=Nc2ccc3nc(C#N)sc3c2C1,COX1
CHEMBL210446,CHEMBL2095188,6.4,O=C1C(c2c(O)[nH]c3c(F)cccc23)=Nc2ccccc21,COX1
CHEMBL210474,CHEMBL2095188,5.89,CCn1cnc2ccc3nc(C(=N)NCCN(C)C)sc3c2c1=O,COX1
CHEMBL210918,CHEMBL2095188,5.8,CCCn1cnc2ccc3nc(C4=NCCN4)sc3c2c1=O,COX1
CHEMBL210919,CHEMBL2095188,5.34,CC(C)Cn1cnc2ccc3nc(C4=NCCN4)sc3c2c1=O,COX1
CHEMBL211192,CHEMBL2095188,4.96,CCN(CC)CCO/N=C1/C(c2c(O)[nH]c3c(Br)cccc23)=Nc2ccccc21.Cl,COX1
CHEMBL211243,CHEMBL2095188,6.52,CO/N=C1\C(c2c(O)[nH]c3ccccc23)=Nc2ccccc21,COX1
CHEMBL211409,CHEMBL2095188,6.24,Oc1[nH]c2c(Br)cccc2c1C1=Nc2ccccc2/C1=N\OCCN1CCOCC1,COX1
CHEMBL211429,CHEMBL2095188,5.16,Oc1[nH]c2c(Br)cccc2c1C1=Nc2ccccc2/C1=N\OCCN1CCCC1,COX1
CHEMBL211430,CHEMBL2095188,5.52,Cl.Oc1[nH]c2c(Br)cccc2c1C1=Nc2ccccc2/C1=N\OCCN1CCCC1,COX1
CHEMBL211593,CHEMBL2095188,6.36,CO/N=C1/C(c2c(O)[nH]c3c(F)cccc23)=Nc2ccccc21,COX1
CHEMBL212174,CHEMBL2095188,6.57,O=Nc1c(-c2c(O)[nH]c3c(F)cccc23)[nH]c2ccccc12,COX1
CHEMBL212581,CHEMBL2095188,5.1,CN(C)CCO/N=C1/C(c2c(O)[nH]c3c(Br)cccc23)=Nc2ccccc21,COX1
CHEMBL213401,CHEMBL2095188,5.05,Oc1[nH]c2c(Br)cccc2c1C1=Nc2ccccc2/C1=N\OCCn1ccnc1,COX1
CHEMBL223341,CHEMBL2095188,5.6,COc1ccc(CN2C(=O)C=CC2=O)cc1,COX1
CHEMBL223342,CHEMBL2095188,5.7,O=C1C=CC(=O)N1CCc1ccccc1,COX1
CHEMBL223343,CHEMBL2095188,4.0,COc1ccc(CCN2C(=O)CSC2=S)cc1,COX1
CHEMBL223398,CHEMBL2095188,4.92,O=c1ssc(=O)n1Cc1ccccc1,COX1
CHEMBL224043,CHEMBL2095188,4.0,CN1C(=O)CSC1=S,COX1
CHEMBL224231,CHEMBL2095188,4.92,O=C1C=CC(=O)C1,COX1
CHEMBL224232,CHEMBL2095188,5.52,O=C1C=CC(=O)N1CCCCCc1ccccc1,COX1
CHEMBL224235,CHEMBL2095188,4.0,O=C(c1ccccc1)n1c(=O)n(-c2ccccc2)c(=O)n1C(=O)c1ccccc1,COX1
CHEMBL224236,CHEMBL2095188,5.07,CCn1sc(=O)n(-c2ccc([N+](=O)[O-])cc2)c1=O,COX1
CHEMBL224287,CHEMBL2095188,4.0,O=c1[nH][nH]c(=O)n1-c1ccccc1,COX1
CHEMBL224288,CHEMBL2095188,4.0,Cn1c(=O)n(-c2ccccc2)c(=O)n1C,COX1
CHEMBL224301,CHEMBL2095188,5.52,O=C1C=CC(=O)N1CCCc1ccccc1,COX1
CHEMBL224367,CHEMBL2095188,4.6,O=C1CSC(=S)N1Cc1ccccc1,COX1
CHEMBL224441,CHEMBL2095188,4.0,O=C(O)CN1C(=O)CSC1=S,COX1
CHEMBL224633,CHEMBL2095188,4.0,O=C1CSC(=S)N1,COX1
CHEMBL224674,CHEMBL2095188,5.22,CCn1sc(=O)n(-c2ccccc2)c1=O,COX1
CHEMBL224900,CHEMBL2095188,4.0,O=C1CSC(=O)N1Cc1ccccc1,COX1
